               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046537,            0.044383,                   0,             0.78046,             0.76647,             0.83673,             0.44487,            0.036901,           0.0095685,                   0,           0.0015324,           0.0015324,            0.086032
                  39,            0.047848,            0.047385,                   0,              0.4642,             0.77844,             0.46553,             0.12357,            0.046486,            0.010254,                   0,            0.001571,            0.001571,            0.085671
                  40,            0.045977,            0.048446,                   0,             0.77016,             0.74242,             0.79292,             0.24459,            0.044185,           0.0093006,                   0,           0.0016095,           0.0016095,             0.08531
                  41,            0.047568,            0.046498,                   0,             0.59626,             0.77844,             0.65331,             0.29649,            0.044696,           0.0097777,                   0,            0.001648,            0.001648,            0.084948
                  42,            0.046125,            0.046025,                   0,             0.52592,             0.72455,             0.59655,             0.23779,            0.043855,           0.0095986,                   0,           0.0016863,           0.0016863,            0.084586
                  43,            0.048982,            0.042632,                   0,             0.76296,              0.7902,             0.84398,             0.42147,            0.036013,           0.0087725,                   0,           0.0017246,           0.0017246,            0.084225
                  44,            0.044848,            0.043283,                   0,             0.52159,             0.78995,             0.64417,             0.30841,            0.040845,           0.0092946,                   0,           0.0017628,           0.0017628,            0.083863
                  45,            0.043465,            0.044313,                   0,             0.49807,             0.83187,             0.68304,             0.32926,            0.042715,           0.0090095,                   0,           0.0018009,           0.0018009,            0.083501
                  46,            0.045273,            0.043498,                   0,             0.62809,             0.73054,             0.71027,             0.31111,             0.04445,           0.0089059,                   0,            0.001839,            0.001839,            0.083139
                  47,            0.044976,            0.043819,                   0,             0.65101,             0.74841,              0.7275,             0.27952,            0.042787,           0.0094244,                   0,           0.0018769,           0.0018769,            0.082777
                  48,            0.043908,            0.042419,                   0,             0.82291,             0.72455,             0.84046,             0.28385,            0.046648,           0.0087849,                   0,           0.0019148,           0.0019148,            0.082415
                  49,            0.046432,            0.037779,                   0,             0.73525,              0.7485,             0.79577,             0.19875,            0.043494,           0.0085939,                   0,           0.0019526,           0.0019526,            0.082053
                  50,            0.043535,             0.04299,                   0,             0.85894,             0.80217,             0.88789,             0.35318,            0.036677,           0.0088349,                   0,           0.0019903,           0.0019903,             0.08169
                  51,            0.045195,            0.042454,                   0,             0.84364,             0.80769,              0.8711,             0.37409,            0.039345,           0.0091269,                   0,           0.0020279,           0.0020279,            0.081328
                  52,            0.041372,              0.0421,                   0,             0.84831,             0.83832,             0.87736,             0.49371,              0.0345,           0.0089016,                   0,           0.0020654,           0.0020654,            0.080965
                  53,            0.045225,            0.039364,                   0,             0.63849,             0.77204,             0.78926,             0.23133,            0.038337,           0.0086135,                   0,           0.0021028,           0.0021028,            0.080603
                  54,            0.043704,            0.041649,                   0,             0.83848,             0.80838,             0.89455,             0.34391,             0.04096,           0.0084406,                   0,           0.0021401,           0.0021401,             0.08024
                  55,            0.042375,            0.045262,                   0,             0.81033,             0.82036,             0.87347,             0.33772,            0.039733,           0.0088328,                   0,           0.0021773,           0.0021773,            0.079877
                  56,             0.04291,            0.038011,                   0,             0.83968,             0.78406,             0.83915,             0.21554,            0.042431,           0.0084517,                   0,           0.0022144,           0.0022144,            0.079514
                  57,            0.044783,            0.042013,                   0,              0.6956,             0.67066,             0.73959,             0.25358,            0.037107,             0.01022,                   0,           0.0022514,           0.0022514,            0.079151
                  58,            0.044754,                0.04,                   0,             0.81661,              0.8024,             0.82303,              0.2259,            0.041995,           0.0095778,                   0,           0.0022883,           0.0022883,            0.078788
